model,target_item_idx,m,relevant_users,hits,precision,recall,ndcg,target_removed_from_profiles,candidate_users
Random Reverse,30,1000,12,0,0.0,0.0,0.0,True,80889
TF-IDF Reverse,31,100,7,0,0.0,0.0,0.0,True,80889
TF-IDF Reverse,31,500,7,0,0.0,0.0,0.0,True,80889
TF-IDF Reverse,31,1000,7,0,0.0,0.0,0.0,True,80889
User Activity,31,100,7,0,0.0,0.0,0.0,True,80889
User Activity,31,500,7,0,0.0,0.0,0.0,True,80889
User Activity,31,1000,7,0,0.0,0.0,0.0,True,80889
Random Reverse,31,100,7,0,0.0,0.0,0.0,True,80889
Random Reverse,31,500,7,0,0.0,0.0,0.0,True,80889
Random Reverse,31,1000,7,0,0.0,0.0,0.0,True,80889
TF-IDF Reverse,33,100,32,0,0.0,0.0,0.0,True,80889
TF-IDF Reverse,33,500,32,2,0.004,0.0625,0.030192430958671995,True,80889
TF-IDF Reverse,33,1000,32,2,0.002,0.0625,0.030192430958671995,True,80889
User Activity,33,100,32,0,0.0,0.0,0.0,True,80889
User Activity,33,500,32,0,0.0,0.0,0.0,True,80889
User Activity,33,1000,32,0,0.0,0.0,0.0,True,80889
Random Reverse,33,100,32,0,0.0,0.0,0.0,True,80889
Random Reverse,33,500,32,0,0.0,0.0,0.0,True,80889
Random Reverse,33,1000,32,1,0.001,0.03125,0.010617857769031402,True,80889
TF-IDF Reverse,34,100,6,0,0.0,0.0,0.0,True,80889
TF-IDF Reverse,34,500,6,0,0.0,0.0,0.0,True,80889
TF-IDF Reverse,34,1000,6,0,0.0,0.0,0.0,True,80889
User Activity,34,100,6,0,0.0,0.0,0.0,True,80889
User Activity,34,500,6,0,0.0,0.0,0.0,True,80889
User Activity,34,1000,6,0,0.0,0.0,0.0,True,80889
Random Reverse,34,100,6,0,0.0,0.0,0.0,True,80889
Random Reverse,34,500,6,0,0.0,0.0,0.0,True,80889
Random Reverse,34,1000,6,0,0.0,0.0,0.0,True,80889
TF-IDF Reverse,35,100,48,0,0.0,0.0,0.0,True,80889
TF-IDF Reverse,35,500,48,1,0.002,0.020833333333333332,0.00942353520402529,True,80889
TF-IDF Reverse,35,1000,48,1,0.001,0.020833333333333332,0.00942353520402529,True,80889
User Activity,35,100,48,0,0.0,0.0,0.0,True,80889
User Activity,35,500,48,1,0.002,0.020833333333333332,0.009876494256367037,True,80889
User Activity,35,1000,48,1,0.001,0.020833333333333332,0.009876494256367037,True,80889
Random Reverse,35,100,48,1,0.01,0.020833333333333332,0.013608400527516077,True,80889
Random Reverse,35,500,48,2,0.004,0.041666666666666664,0.0232680374432228,True,80889
Random Reverse,35,1000,48,3,0.003,0.0625,0.03172690258006354,True,80889
TF-IDF Reverse,36,100,22,1,0.01,0.045454545454545456,0.020842891117750385,True,80889
TF-IDF Reverse,36,500,22,2,0.004,0.09090909090909091,0.03635675161142678,True,80889
TF-IDF Reverse,36,1000,22,2,0.002,0.09090909090909091,0.03635675161142678,True,80889
User Activity,36,100,22,0,0.0,0.0,0.0,True,80889
User Activity,36,500,22,0,0.0,0.0,0.0,True,80889
User Activity,36,1000,22,0,0.0,0.0,0.0,True,80889
Random Reverse,36,100,22,0,0.0,0.0,0.0,True,80889
Random Reverse,36,500,22,1,0.002,0.045454545454545456,0.016052798809339203,True,80889
Random Reverse,36,1000,22,1,0.001,0.045454545454545456,0.016052798809339203,True,80889
TF-IDF Reverse,38,100,10,0,0.0,0.0,0.0,True,80889
TF-IDF Reverse,38,500,10,0,0.0,0.0,0.0,True,80889
TF-IDF Reverse,38,1000,10,0,0.0,0.0,0.0,True,80889
User Activity,38,100,10,0,0.0,0.0,0.0,True,80889
User Activity,38,500,10,0,0.0,0.0,0.0,True,80889
User Activity,38,1000,10,0,0.0,0.0,0.0,True,80889
Random Reverse,38,100,10,0,0.0,0.0,0.0,True,80889
Random Reverse,38,500,10,0,0.0,0.0,0.0,True,80889
Random Reverse,38,1000,10,0,0.0,0.0,0.0,True,80889
TF-IDF Reverse,39,100,120,2,0.02,0.016666666666666666,0.01677175275500081,True,80889
TF-IDF Reverse,39,500,120,9,0.018,0.075,0.049361931747575125,True,80889
TF-IDF Reverse,39,1000,120,12,0.012,0.1,0.06246977978993662,True,80889
User Activity,39,100,120,0,0.0,0.0,0.0,True,80889
User Activity,39,500,120,0,0.0,0.0,0.0,True,80889
User Activity,39,1000,120,0,0.0,0.0,0.0,True,80889
Random Reverse,39,100,120,0,0.0,0.0,0.0,True,80889
Random Reverse,39,500,120,0,0.0,0.0,0.0,True,80889
Random Reverse,39,1000,120,1,0.001,0.008333333333333333,0.004446332761130585,True,80889
TF-IDF Reverse,40,100,5,0,0.0,0.0,0.0,True,80889
TF-IDF Reverse,40,500,5,0,0.0,0.0,0.0,True,80889
TF-IDF Reverse,40,1000,5,0,0.0,0.0,0.0,True,80889
User Activity,40,100,5,0,0.0,0.0,0.0,True,80889
User Activity,40,500,5,0,0.0,0.0,0.0,True,80889
User Activity,40,1000,5,0,0.0,0.0,0.0,True,80889
Random Reverse,40,100,5,0,0.0,0.0,0.0,True,80889
Random Reverse,40,500,5,0,0.0,0.0,0.0,True,80889
Random Reverse,40,1000,5,0,0.0,0.0,0.0,True,80889
TF-IDF Reverse,41,100,7,0,0.0,0.0,0.0,True,80889
TF-IDF Reverse,41,500,7,0,0.0,0.0,0.0,True,80889
TF-IDF Reverse,41,1000,7,0,0.0,0.0,0.0,True,80889
User Activity,41,100,7,0,0.0,0.0,0.0,True,80889
User Activity,41,500,7,0,0.0,0.0,0.0,True,80889
User Activity,41,1000,7,0,0.0,0.0,0.0,True,80889
Random Reverse,41,100,7,0,0.0,0.0,0.0,True,80889
Random Reverse,41,500,7,0,0.0,0.0,0.0,True,80889
Random Reverse,41,1000,7,0,0.0,0.0,0.0,True,80889
TF-IDF Reverse,42,100,67,0,0.0,0.0,0.0,True,80889
TF-IDF Reverse,42,500,67,1,0.002,0.014925373134328358,0.008915264689788076,True,80889
TF-IDF Reverse,42,1000,67,1,0.001,0.014925373134328358,0.008915264689788076,True,80889
User Activity,42,100,67,0,0.0,0.0,0.0,True,80889
User Activity,42,500,67,0,0.0,0.0,0.0,True,80889
User Activity,42,1000,67,0,0.0,0.0,0.0,True,80889
Random Reverse,42,100,67,0,0.0,0.0,0.0,True,80889
Random Reverse,42,500,67,0,0.0,0.0,0.0,True,80889
Random Reverse,42,1000,67,0,0.0,0.0,0.0,True,80889
TF-IDF Reverse,43,100,18,0,0.0,0.0,0.0,True,80889
TF-IDF Reverse,43,500,18,0,0.0,0.0,0.0,True,80889
TF-IDF Reverse,43,1000,18,0,0.0,0.0,0.0,True,80889
User Activity,43,100,18,0,0.0,0.0,0.0,True,80889
User Activity,43,500,18,0,0.0,0.0,0.0,True,80889
User Activity,43,1000,18,0,0.0,0.0,0.0,True,80889
Random Reverse,43,100,18,0,0.0,0.0,0.0,True,80889
Random Reverse,43,500,18,0,0.0,0.0,0.0,True,80889
Random Reverse,43,1000,18,1,0.001,0.05555555555555555,0.016108861715309234,True,80889
TF-IDF Reverse,44,100,24,0,0.0,0.0,0.0,True,80889
TF-IDF Reverse,44,500,24,0,0.0,0.0,0.0,True,80889
TF-IDF Reverse,44,1000,24,0,0.0,0.0,0.0,True,80889
User Activity,44,100,24,0,0.0,0.0,0.0,True,80889
User Activity,44,500,24,0,0.0,0.0,0.0,True,80889
User Activity,44,1000,24,0,0.0,0.0,0.0,True,80889
Random Reverse,44,100,24,0,0.0,0.0,0.0,True,80889
Random Reverse,44,500,24,1,0.002,0.041666666666666664,0.01476809717780713,True,80889
Random Reverse,44,1000,24,1,0.001,0.041666666666666664,0.01476809717780713,True,80889
TF-IDF Reverse,45,100,21,0,0.0,0.0,0.0,True,80889
TF-IDF Reverse,45,500,21,0,0.0,0.0,0.0,True,80889
TF-IDF Reverse,45,1000,21,0,0.0,0.0,0.0,True,80889
User Activity,45,100,21,0,0.0,0.0,0.0,True,80889
User Activity,45,500,21,0,0.0,0.0,0.0,True,80889
User Activity,45,1000,21,0,0.0,0.0,0.0,True,80889
Random Reverse,45,100,21,0,0.0,0.0,0.0,True,80889
Random Reverse,45,500,21,0,0.0,0.0,0.0,True,80889
Random Reverse,45,1000,21,0,0.0,0.0,0.0,True,80889
TF-IDF Reverse,46,100,119,0,0.0,0.0,0.0,True,80889
TF-IDF Reverse,46,500,119,1,0.002,0.008403361344537815,0.006078702172070311,True,80889
TF-IDF Reverse,46,1000,119,3,0.003,0.025210084033613446,0.01489915436346187,True,80889
User Activity,46,100,119,1,0.01,0.008403361344537815,0.008223799630262424,True,80889
User Activity,46,500,119,8,0.016,0.06722689075630252,0.04488937208509788,True,80889
User Activity,46,1000,119,13,0.013,0.1092436974789916,0.0668382999524968,True,80889
Random Reverse,46,100,119,0,0.0,0.0,0.0,True,80889
Random Reverse,46,500,119,3,0.006,0.025210084033613446,0.016717442219934233,True,80889
Random Reverse,46,1000,119,5,0.005,0.04201680672268908,0.025790838418941343,True,80889
TF-IDF Reverse,48,100,14,1,0.01,0.07142857142857142,0.029378120334099953,True,80889
TF-IDF Reverse,48,500,14,4,0.008,0.2857142857142857,0.09646939619985123,True,80889
TF-IDF Reverse,48,1000,14,6,0.006,0.42857142857142855,0.13522832353177425,True,80889
User Activity,48,100,14,0,0.0,0.0,0.0,True,80889
User Activity,48,500,14,0,0.0,0.0,0.0,True,80889
User Activity,48,1000,14,0,0.0,0.0,0.0,True,80889
Random Reverse,48,100,14,0,0.0,0.0,0.0,True,80889
Random Reverse,48,500,14,1,0.002,0.07142857142857142,0.022607937094028235,True,80889
Random Reverse,48,1000,14,1,0.001,0.07142857142857142,0.022607937094028235,True,80889
TF-IDF Reverse,49,100,102,1,0.01,0.00980392156862745,0.009732950496911846,True,80889
TF-IDF Reverse,49,500,102,5,0.01,0.049019607843137254,0.031224630833592035,True,80889
TF-IDF Reverse,49,1000,102,7,0.007,0.06862745098039216,0.04139736733030892,True,80889
User Activity,49,100,102,0,0.0,0.0,0.0,True,80889
User Activity,49,500,102,0,0.0,0.0,0.0,True,80889
User Activity,49,1000,102,0,0.0,0.0,0.0,True,80889
Random Reverse,49,100,102,0,0.0,0.0,0.0,True,80889
Random Reverse,49,500,102,1,0.002,0.00980392156862745,0.0053802161912703105,True,80889
Random Reverse,49,1000,102,1,0.001,0.00980392156862745,0.0053802161912703105,True,80889
TF-IDF Reverse,50,100,168,0,0.0,0.0,0.0,True,80889
TF-IDF Reverse,50,500,168,2,0.004,0.011904761904761904,0.008867114136216391,True,80889
TF-IDF Reverse,50,1000,168,3,0.003,0.017857142857142856,0.012265496185489088,True,80889
User Activity,50,100,168,0,0.0,0.0,0.0,True,80889
User Activity,50,500,168,0,0.0,0.0,0.0,True,80889
User Activity,50,1000,168,0,0.0,0.0,0.0,True,80889
Random Reverse,50,100,168,0,0.0,0.0,0.0,True,80889
Random Reverse,50,500,168,2,0.004,0.011904761904761904,0.007715359475342974,True,80889
Random Reverse,50,1000,168,2,0.002,0.011904761904761904,0.007715359475342974,True,80889
TF-IDF Reverse,51,100,12,0,0.0,0.0,0.0,True,80889
TF-IDF Reverse,51,500,12,0,0.0,0.0,0.0,True,80889
TF-IDF Reverse,51,1000,12,0,0.0,0.0,0.0,True,80889
User Activity,51,100,12,0,0.0,0.0,0.0,True,80889
User Activity,51,500,12,0,0.0,0.0,0.0,True,80889
User Activity,51,1000,12,0,0.0,0.0,0.0,True,80889
Random Reverse,51,100,12,0,0.0,0.0,0.0,True,80889
Random Reverse,51,500,12,0,0.0,0.0,0.0,True,80889
Random Reverse,51,1000,12,0,0.0,0.0,0.0,True,80889
